Model,T,Params(M),Best_Val_Acc,Test_Acc,Train_Time(s)
ANN,20,0.01768,92.40654205607477,91.93218357205495,86.87082886695862
SNN,20,0.01768,83.64485981308411,81.43817597193802,703.3870346546173
DENSESNN,20,0.01768,75.17523364485982,73.25343466822567,718.2315938472748
