epoch,train_loss,train_acc,train_sparsity,val_loss,val_acc,val_sparsity,lr
1,1.5000111021241298,73.28250670241287,1.0,1.8419094571360835,39.427570093457945,1.0,0.0009755282581475768
2,1.392563360306277,82.58210455764075,1.0,1.4119307906539351,81.42523364485982,1.0,0.0009045084971874737
3,1.376652323528525,84.33310991957104,1.0,1.5309159954388936,68.22429906542057,1.0,0.0007938926261462366
4,1.3660475210593788,85.82439678284182,1.0,1.3703841302129958,86.85747663551402,1.0,0.0006545084971874737
5,1.357848791590325,87.8770107238606,1.0,1.3862658120967724,85.51401869158879,1.0,0.0005
6,1.347601824727199,90.11394101876675,1.0,1.3494399189949036,90.71261682242991,1.0,0.00034549150281252633
7,1.3428433852285226,91.12768096514745,1.0,1.3656493028004963,86.79906542056075,1.0,0.00020610737385376348
8,1.338166543689554,92.04088471849866,1.0,1.3279715908898249,92.87383177570094,1.0,9.549150281252633e-05
9,1.3323483201837412,92.70274798927613,1.0,1.3291066509706002,92.75700934579439,1.0,2.4471741852423235e-05
10,1.330108235412884,93.21380697050938,1.0,1.324256384814227,93.86682242990655,1.0,0.001
11,1.3490314512406214,90.28150134048258,1.0,1.3929701447486877,84.69626168224299,1.0,0.0009938441702975688
12,1.3478799316902264,90.28987935656836,1.0,1.3893085254563227,85.51401869158879,1.0,0.0009755282581475768
13,1.3454015708800615,90.49932975871313,1.0,1.3745013784479212,85.22196261682242,1.0,0.0009455032620941839
14,1.3397993114614615,91.37902144772119,1.0,1.336017330487569,91.5303738317757,1.0,0.0009045084971874737
15,1.334929482546952,92.30060321715818,1.0,1.350541545285119,90.30373831775701,1.0,0.0008535533905932737
16,1.3321007288812632,92.468163538874,1.0,1.3391120235125225,92.75700934579439,1.0,0.0007938926261462366
17,1.3311781432609455,92.71112600536193,1.0,1.356241711863765,90.71261682242991,1.0,0.0007269952498697733
18,1.3279532852505231,93.27245308310992,1.0,1.3428157832887437,89.95327102803738,1.0,0.0006545084971874737
19,1.3244986508550975,93.64946380697052,1.0,1.3198674431553594,94.1588785046729,1.0,0.0005782172325201155
20,1.3211192905743065,94.36997319034853,1.0,1.3490555551317003,92.05607476635514,1.0,0.0005
21,1.318754876267175,94.67995978552278,1.0,1.3262942764494154,94.04205607476635,1.0,0.0004217827674798847
22,1.3171064188908637,94.81400804289544,1.0,1.3211020120867976,93.86682242990655,1.0,0.00034549150281252633
23,1.3133157712205166,95.00670241286863,1.0,1.324478597552688,93.92523364485982,1.0,0.00027300475013022663
24,1.312366841945188,95.62667560321715,1.0,1.331795886710838,92.34813084112149,1.0,0.00020610737385376348
25,1.3122131667891392,95.48424932975871,1.0,1.3158696757422552,94.68457943925233,1.0,0.00014644660940672628
26,1.3092729869540831,95.91152815013405,1.0,1.314228031370375,94.85981308411215,1.0,9.549150281252633e-05
27,1.3091382242080034,95.97017426273459,1.0,1.3144963670659948,95.50233644859813,1.0,5.449673790581611e-05
28,1.3076046686070215,96.02044235924933,1.0,1.3132921788427565,95.09345794392523,1.0,2.4471741852423235e-05
29,1.3070021174228863,96.15449061662198,1.0,1.312538135934759,95.09345794392523,1.0,6.15582970243117e-06
30,1.3060804046191095,96.5063672922252,1.0,1.3117087836618777,95.44392523364486,1.0,0.001
31,1.3254209120855254,93.80864611260054,1.0,1.4136929666554485,84.8714953271028,1.0,0.000998458666866564
32,1.3274599118782433,93.14678284182305,1.0,1.3653793489491497,88.90186915887851,1.0,0.0009938441702975688
33,1.3249587888052892,93.59081769436997,1.0,1.4147630245597274,83.76168224299066,1.0,0.0009861849601988384
34,1.323548687686869,93.87567024128687,1.0,1.3556046066460785,89.7196261682243,1.0,0.0009755282581475768
35,1.3211423366382997,94.18565683646112,1.0,1.343163130459962,89.89485981308411,1.0,0.0009619397662556434
36,1.3175122376741097,94.34483914209115,1.0,1.337127219747614,92.87383177570094,1.0,0.0009455032620941839
37,1.3177917128274013,94.60455764075067,1.0,1.3718812598122492,87.61682242990655,1.0,0.0009263200821770461
38,1.3156462342106305,94.88103217158177,1.0,1.3370704982015822,91.1214953271028,1.0,0.0009045084971874737
39,1.315765916182592,94.69671581769437,1.0,1.3332494916739288,91.99766355140187,1.0,0.0008802029828000156
40,1.3147071478513865,94.83076407506702,1.0,1.3230083960073966,93.16588785046729,1.0,0.0008535533905932737
41,1.3138408504286656,95.09048257372655,1.0,1.337373035925406,91.58878504672897,1.0,0.000824724024165092
42,1.3122608207825361,95.18264075067025,1.0,1.3564849385508784,89.77803738317758,1.0,0.0007938926261462366
43,1.3095747798121966,95.57640750670241,1.0,1.343544739264029,90.88785046728972,1.0,0.0007612492823579744
44,1.3112818520446246,95.2245308310992,1.0,1.3584330589682967,89.66121495327103,1.0,0.0007269952498697733
45,1.3089990050159894,95.81936997319035,1.0,1.3320629707089178,93.16588785046729,1.0,0.000691341716182545
46,1.307303805453528,95.92828418230563,1.0,1.3332438071568806,92.17289719626169,1.0,0.0006545084971874737
47,1.3072893555618164,95.75234584450402,1.0,1.332514595102381,93.39953271028037,1.0,0.0006167226819279528
48,1.3047918442426993,96.27178284182305,1.0,1.335413447132817,93.04906542056075,1.0,0.0005782172325201155
49,1.3047107771318656,96.45609919571045,1.0,1.323985583252377,93.86682242990655,1.0,0.0005392295478639225
50,1.3029217397239827,96.52312332439678,1.0,1.3194496808228668,94.5677570093458,1.0,0.0005
