Model,T,Params(M),Best_Val_Acc,Test_Acc,Train_Time(s)
ANN,1,0.01768,92.1144859813084,91.0844782227419,89.51772737503052
SNN,6,0.28983,95.50233644859813,93.62759427068109,572.4943056106567
DENSESNN,6,0.01768,76.69392523364486,74.01344636071325,284.0387923717499
