Model,Sparsity,Avg_Firing_Rate,Latency_ms,Dynamic_Power_W,Energy_per_Sample_mJ
SNN (Sparse),1.0,0.0,4.723579480000808,10.326470000000008,48.77790179284398
Dense_SNN,0.5230123301347096,0.47698766986529034,4.600782890001938,9.36931000000001,43.1061611391241
ANN,0.0,1.0,0.5077420800034815,9.300099999999976,4.7220521182403665
