dataset,model,repeat,epochs,shadow_models,encoding,augment,T,accuracy,auc,f1,precision,recall
pathmnist,SNN,1,3,2,direct,False,6,0.5687093779015785,0.600095167544882,0.5697081982399259,0.5678670360110804,0.5715613382899628
pathmnist,SNN,2,3,2,direct,False,6,0.5580315691736305,0.5942534256436607,0.5410942395758014,0.5620931397095643,0.5216078066914498
pathmnist,DenseSNN,1,3,2,direct,False,6,0.5472376973073352,0.5664663561014132,0.6018168827191998,0.5366830511560168,0.6849442379182156
pathmnist,DenseSNN,2,3,2,direct,False,6,0.5472376973073352,0.5664663561014132,0.6018168827191998,0.5366830511560168,0.6849442379182156
pathmnist,ANN,1,3,2,direct,False,6,0.5477019498607242,0.5466708925036726,0.5284936479128857,0.5513759151729362,0.5074349442379182
pathmnist,ANN,2,3,2,direct,False,6,0.534702878365831,0.529634759657496,0.5118714233532206,0.5377334356612945,0.48838289962825276
