dataset,model,seed,encoding,augment,T,epochs,best_epoch,val_acc,test_acc,training_time,power,latency,params
pathmnist,SNN,42,poisson,True,8,8,8,62.81487405037985,67.86908077994428,552.3265471458435,18.9196,0.2172200265604829,119527
pathmnist,DenseSNN,42,poisson,True,8,8,2,34.07636945221911,43.1058495821727,409.6813530921936,19.428400000000003,0.3789093046918879,119531
