dataset,model,seed,encoding,augment,T,epochs,best_epoch,val_acc,test_acc,training_time,power,latency,params
pathmnist,SNN,42,direct,False,6,15,15,92.72291083566573,82.01949860724234,899.8769946098328,22.7925,0.13483476406435102,119527
pathmnist,SNN,43,direct,False,6,15,15,92.36305477808877,82.63231197771587,866.1909530162811,25.073600000000006,0.12931679687682163,119527
pathmnist,DenseSNN,42,direct,False,6,15,15,57.39704118352659,61.16991643454039,538.4668245315552,22.3869,0.25077759687519574,119531
pathmnist,DenseSNN,43,direct,False,6,15,15,58.6265493802479,62.86908077994429,517.0229904651642,21.381400000000003,0.21592306250113324,119531
pathmnist,ANN,42,direct,False,6,15,15,96.781287485006,84.72144846796657,174.28213262557983,15.454000000000002,0.033312703126853194,119521
pathmnist,ANN,43,direct,False,6,15,15,96.61135545781687,85.51532033426184,165.9433298110962,14.084900000000001,0.03969548749580554,119521
