dataset,model,encoding,augment,T,epochs,repeats,val_acc,test_acc,training_time,power,latency,params,output_prefix
pathmnist,SNN,direct,True,8,8,1,84.14 ± 0.00,82.41 ± 0.00,602.36 ± 0.00s,23.05 ± 0.00W,0.15 ± 0.00ms/sample,119527 (0.120M),pathology_screen_direct_t8_aug
pathmnist,DenseSNN,direct,True,8,8,1,40.65 ± 0.00,53.75 ± 0.00,376.59 ± 0.00s,15.82 ± 0.00W,0.39 ± 0.00ms/sample,119531 (0.120M),pathology_screen_direct_t8_aug
