dataset,model,seed,encoding,augment,T,test_acc,power_w,latency_ms_per_sample,energy_mj_per_sample,spike_rate,theoretical_macs_saving,ann_reference_macs,ann_reference_flops
dermamnist,SNN,42,direct,False,6,69.72568578553616,27.205199999999998,0.1210320156275202,3.292700191549812,0.09485663962783823,0.9051433603721618,1906453,3812906
dermamnist,SNN,43,direct,False,6,70.12468827930175,31.332800000000002,0.12232778281884293,3.8328719535062423,0.09028634987012406,0.9097136501298759,1906453,3812906
dermamnist,DenseSNN,42,direct,False,6,66.78304239401496,18.537200000000002,0.24793990469049731,4.596111601228688,0.20069865211450588,0.0,1906453,3812906
dermamnist,DenseSNN,43,direct,False,6,66.83291770573567,18.729599999999998,0.23825007187383562,4.462328546168191,0.18431982974569183,0.0,1906453,3812906
dermamnist,ANN,42,direct,False,6,75.26184538653366,15.373399999999998,0.03125587968497712,0.4805091407490272,,0.0,1906453,3812906
dermamnist,ANN,43,direct,False,6,74.86284289276809,13.646,0.034859078124327425,0.47568698008457205,,0.0,1906453,3812906
