dataset,model,encoding,augment,T,epochs,repeats,val_acc,test_acc,training_time,power,latency,params,output_prefix
pathmnist,SNN,direct,True,6,8,1,83.49 ± 0.00,82.42 ± 0.00,399.03 ± 0.00s,32.30 ± 0.00W,0.13 ± 0.00ms/sample,119527 (0.120M),pathology_screen_direct_t6_aug
pathmnist,DenseSNN,direct,True,6,8,1,40.61 ± 0.00,53.22 ± 0.00,320.37 ± 0.00s,18.10 ± 0.00W,0.24 ± 0.00ms/sample,119531 (0.120M),pathology_screen_direct_t6_aug
