dataset,model,repeat,epochs,shadow_models,encoding,augment,T,accuracy,auc,f1,precision,recall
dermamnist,SNN,1,3,2,direct,False,6,0.4842061512884456,0.4948905942528696,0.0,0.0,0.0
dermamnist,SNN,2,3,2,direct,False,6,0.4842061512884456,0.4959758328635705,0.0,0.0,0.0
dermamnist,DenseSNN,1,3,2,direct,False,6,0.4842061512884456,0.4948930151165646,0.0,0.0,0.0
dermamnist,DenseSNN,2,3,2,direct,False,6,0.4842061512884456,0.4948930151165646,0.0,0.0,0.0
dermamnist,ANN,1,3,2,direct,False,6,0.47880299251870323,0.48409942141357687,0.4451327433628319,0.49362119725220804,0.40531829170024175
dermamnist,ANN,2,3,2,direct,False,6,0.4829592684954281,0.48721057709932114,0.46240276577355227,0.49860205032618826,0.43110394842868655
