dataset,model,encoding,augment,T,epochs,repeats,val_acc,test_acc,training_time,power,latency,params,output_prefix
pathmnist,SNN,poisson,True,8,8,1,62.81 ± 0.00,67.87 ± 0.00,552.33 ± 0.00s,18.92 ± 0.00W,0.22 ± 0.00ms/sample,119527 (0.120M),pathology_screen_poisson_t8_aug
pathmnist,DenseSNN,poisson,True,8,8,1,34.08 ± 0.00,43.11 ± 0.00,409.68 ± 0.00s,19.43 ± 0.00W,0.38 ± 0.00ms/sample,119531 (0.120M),pathology_screen_poisson_t8_aug
