model,test_acc,sparsity,mia_acc
SNN (α可学习),93.63 ± 0.28,0.997 ± 0.001,0.500 ± 0.015
SNN (α固定=0.2),92.15 ± 0.35,0.985 ± 0.003,0.525 ± 0.018
