dataset,model,seed,encoding,augment,T,epochs,best_epoch,val_acc,test_acc,training_time,power,latency,params
dermamnist,SNN,42,poisson,True,6,8,5,67.19840478564308,65.23690773067332,29.378046989440918,28.829,0.10905059999686273,119363
dermamnist,DenseSNN,42,poisson,True,6,8,1,66.89930209371884,66.88279301745636,21.79884958267212,18.393400000000003,0.23826990624513655,119367
