dataset,model,encoding,augment,T,epochs,repeats,val_acc,test_acc,training_time,power,latency,params,output_prefix
dermamnist,SNN,direct,True,6,8,1,69.99 ± 0.00,68.33 ± 0.00,35.97 ± 0.00s,29.42 ± 0.00W,0.12 ± 0.00ms/sample,119363 (0.119M),dermamnist_screen_direct_t6_aug
dermamnist,DenseSNN,direct,True,6,8,1,66.90 ± 0.00,66.88 ± 0.00,21.09 ± 0.00s,17.78 ± 0.00W,0.24 ± 0.00ms/sample,119367 (0.119M),dermamnist_screen_direct_t6_aug
