dataset,model,seed,encoding,augment,T,epochs,best_epoch,val_acc,test_acc,training_time,power,latency,params
dermamnist,SNN,42,direct,False,6,15,11,71.1864406779661,69.72568578553616,55.70639085769653,27.205199999999998,0.1210320156275202,119363
dermamnist,SNN,43,direct,False,6,15,10,72.28315054835494,70.12468827930175,55.59452033042908,31.332800000000002,0.12232778281884293,119363
dermamnist,DenseSNN,42,direct,False,6,15,9,67.098703888335,66.78304239401496,40.31381154060364,18.537200000000002,0.24793990469049731,119367
dermamnist,DenseSNN,43,direct,False,6,15,6,66.99900299102691,66.83291770573567,40.09445357322693,18.729599999999998,0.23825007187383562,119367
dermamnist,ANN,42,direct,False,6,15,13,77.26819541375872,75.26184538653366,15.807751417160034,15.373399999999998,0.03125587968497712,119357
dermamnist,ANN,43,direct,False,6,15,12,76.86939182452642,74.86284289276809,16.273489236831665,13.646,0.034859078124327425,119357
