dataset,model,seed,encoding,augment,T,epochs,best_epoch,val_acc,test_acc,training_time,power,latency,params
dermamnist,SNN,42,direct,False,6,8,6,70.98703888334995,68.22942643391521,30.015050172805786,30.961599999999994,0.10650473437578967,119363
dermamnist,DenseSNN,42,direct,False,6,8,2,66.89930209371884,66.88279301745636,21.359943628311157,18.312399999999997,0.2341215421893139,119367
